# Terminology glossary: CSV with columns en,ru,ru_pattern,note.
# Lines starting with "#" (and blank lines) are comments/ignored -- stripped
# before CSV parsing.
#
# - en: the EN term, matched against doc text as-is (word-boundary,
#   case-insensitive). Entries sharing the same en (there can be more than
#   one row for it, e.g. the two "session" rows below, or an abbreviation
#   given its own row alongside the spelled-out term -- see "WAL"/"CTE"/
#   "UDF" below) are merged: either row's translation counts as correct.
# - ru: the canonical/display RU translation (human-readable; not used for
#   matching).
# - ru_pattern: what the checker actually matches against the RU line.
#   Space-separated tokens, each either:
#     word<>   -- a stem: matches `word` followed by any suffix (or none),
#                 tolerating Russian declension/conjugation, e.g. "таблиц<>"
#                 matches "таблица"/"таблицы"/"таблицам"/...
#     word     -- an exact token, matched verbatim (case-insensitive), for
#                 anything that doesn't decline: an EN term kept as-is
#                 (do-not-translate entries like "Greengage DB"), a SQL
#                 keyword (`NOT NULL`), an abbreviation, etc.
#   All tokens in a pattern must be found somewhere in the RU line (any
#   order) for that entry to count as correctly translated.
# - note: optional human-readable context distinguishing why this row
#   exists (e.g. which sense of a duplicated en term it covers). Purely
#   informational -- never used for matching.
en,ru,ru_pattern,note
based on Greenplum,на основе Greenplum,основ<> Greenplum,
Greengage DB,Greengage DB (не переводить),Greengage DB,
Greengage DBMS,СУБД Greengage,СУБД Greengage,
passphrase,парольная фраза,парольн<> фраз<>,
host,хост,хост<>,
master host,мастер-хост,мастер-хост<>,
standby master host,резервный мастер-хост,резервн<> мастер-хост<>,
segment host,сегмент-хост,сегмент-хост<>,
firewall,межсетевой экран,межсетев<> экран<>,
topic,статья,стать<>,
section,раздел,раздел<>,
NIC bonding,объединение сетевых интерфейсов,объединен<> сетев<> интерфейс<>,
interconnect,интерконнект,интерконнект<>,
interconnect network,интерконнект-сеть,интерконнект-сет<>,
maximum transmission unit,максимальный размер блока передачи,максимальн<> размер<> блок<> передач<>,
Transparent Huge Pages,Transparent Huge Pages (не переводить),Transparent Huge Pages,
read-ahead,опережающее чтение,опережающ<> чтени<>,
SSH key,SSH-ключ,SSH-ключ<>,
option,параметр,параметр<>,
endpoint security software,защитное программное обеспечение,защитн<> программн<> обеспечени<>,
meta-command,метакоманда,метакоманд<>,
backend,бэкенд,бэкенд<>,
backup,бэкап,бэкап<>,
bare metal,bare metal (не переводить),bare metal,
cache,кеш,кеш<>,
endpoint,эндпойнт,эндпойнт<>,
hash,хеш,хеш<>,
IP address,IP-адрес,IP-адрес<>,
open-source,с открытым исходным кодом,открыт<> исходн<> код<>,
pagination,пагинация,пагинаци<>,
snapshot,снепшот,снепшот<>,
split-brain,split-brain (не переводить),split-brain,
tag,тег,тег<>,
timeout,тайм-аут,тайм-аут<>,
web application,веб-приложение,веб-приложени<>,
web interface,веб-интерфейс,веб-интерфейс<>,
SQL query,SQL-запрос,SQL-запрос<>,
TCP port,TCP-порт,TCP-порт<>,
submodule,подмодуль,подмодул<>,
directory,каталог,каталог<>,
Unix domain socket,сокет домена Unix,сокет<> домен<> Unix,
connection,подключение,подключени<>,
CIDR notation,CIDR-нотация,CIDR-нотаци<>,
plain text,обычный текст,обычн<> текст<>,
Key distribution center,Key distribution center (не переводить),Key distribution center,
mapping,сопоставление,сопоставлени<>,
default,по умолчанию,умолчани<>,
realm,область,област<>,
principal,принципал,принципал<>,
fully qualified domain name,полное доменное имя,полн<> доменн<> имя,
private key,закрытый ключ,закрыт<> ключ<>,
log file,лог-файл,лог-файл<>,
primary segment,основной сегмент,основн<> сегмент<>,
mirror segment,зеркальный сегмент,зеркальн<> сегмент<>,
top-level transaction,транзакция верхнего уровня,транзакци<> верхн<> уровн<>,
subtransaction,подтранзакция,подтранзакци<>,
slice,слайс,слайс<>,
severity,критичность,критичност<>,
stack strace,стек вызовов,стек<> вызов<>,
schema search path,путь поиска схемы,пут<> поиск<> схем<>,
session,сессия,сесси<>,"generic database connection/login/auth sense, e.g. session ID, session timeout, user session"
session,сеанс,сеанс<>,"bounded maintenance operation with a start/duration/end, e.g. rebalance session, expansion session, concurrent session in a dump/snapshot context"
tablespace,табличное пространство,табличн<> пространств<>,
clause,выражение,выражени<>,
partitioning,партиционирование,партиционировани<>,
unique constraint,ограничение уникальности,ограничени<> уникальност<>,
not-null constraint,ограничение `NOT NULL`,ограничени<> NOT NULL,
primary key constraint,ограничение первичного ключа,ограничени<> первичн<> ключ<>,
check constraint,ограничение-проверка,ограничение-проверк<>,
foreign key constraint,ограничение внешнего ключа,ограничени<> внешн<> ключ<>,
relation,отношение,отношени<>,
heap table,heap-таблица,heap-таблиц<>,
TOAST table,TOAST-таблица,TOAST-таблиц<>,
append-optimized table,оптимизированная для добавления таблица,оптимизирован<> добавлен<> таблиц<>,
compression,сжатие,сжати<>,
partition,партиция,партици<>,
subpartition,сабпартиция,сабпартици<>,
root partitioned table,родительская партиционированная таблица,родительск<> партиционирован<> таблиц<>,
staging table,staging-таблица,staging-таблиц<>,
serial type,последовательный тип,последовательн<> тип<>,
bitmap index,bitmap-индекс,bitmap-индекс<>,
B-tree index,индекс B-дерево,индекс<> B-дерев<>,
indexes on expressions,индексы по выражениям,индекс<> выражени<>,
multicolumn index,составной индекс,составн<> индекс<>,
cardinality,кардинальность,кардинальност<>,
an index on the column,индекс по столбцу,индекс<> столбц<>,
join,соединение,соединени<>,
product,товар,товар<>,
breadth-first order,"порядок ""сначала в ширину""",порядок<> ширин<>,
depth-first order,"порядок ""сначала в глубину""",порядок<> глубин<>,
nested loop join,соединение с вложенным циклом,соединени<> вложенн<> цикл<>,
merge join,соединение слиянием,соединени<> слияни<>,
hash join,хеш-соединение,хеш-соединени<>,
partition elimination,сканирование ограниченного числа партиций,сканировани<> ограниченн<> числ<> партици<>,
worker process,процесс-обработчик,процесс-обработчик<>,
cross join,перекрестное соединение,перекрестн<> соединени<>,
inner join,внутреннее соединение,внутренн<> соединени<>,
resource group,ресурсная группа,ресурсн<> групп<>,
resource queue,ресурсная очередь,ресурсн<> очеред<>,
queued transaction,ожидающая в очереди транзакция,ожидающ<> очеред<> транзакци<>,
workfile,spill-файл,spill-файл<>,
parallel retrieve cursor,параллельный курсор,параллельн<> курсор<>,
endpoint,конечная точка,конечн<> точк<>,
WAL sender,процесс отправки WAL,процесс<> отправк<> WAL,
write-ahead logging,журнал предзаписи,журнал<> предзапис<>,
WAL,WAL,WAL,"kept as-is in prose, not spelled out (confirmed 22/22 real occurrences)"
content ID,идентификатор контента,идентификатор<> контент<>,
enum type,тип-перечисление,тип-перечислени<>,
web table,веб-таблица,веб-таблиц<>,
foreign data wrapper,обертка сторонних данных,обертк<> сторонн<> данн<>,
foreign server,сторонний сервер,сторонн<> сервер<>,
selectivity,селективность,селективност<>,
backend,серверный процесс,серверн<> процесс<>,
restricted mode,ограниченный режим,ограниченн<> режим<>,
embedded SQL,встраиваемый SQL,встраиваем<> SQL,
prepared statement,подготовленный оператор,подготовленн<> оператор<>,
Global Deadlock Detector,процесс обнаружения взаимных блокировок,процесс<> обнаружени<> взаимн<> блокиров<>,
readable table,читающая таблица,читающ<> таблиц<>,
writable table,пишущая таблица,пишущ<> таблиц<>,
leaf partition,листовая партиция,листов<> партици<>,
logical backup,логический бэкап,логическ<> бэкап<>,
physical backup,физический бэкап,физическ<> бэкап<>,
incremental backup,инкрементальный бэкап,инкрементальн<> бэкап<>,
point-in-time recovery,восстановление на определенный момент времени,восстановлени<> определенн<> момент<> времен<>,
fault tolerance,отказоустойчивость,отказоустойчивост<>,
port offset,смещение портов,смещени<> порт<>,
mirroring policy,политика зеркалирования,политик<> зеркалировани<>,
unbalanced state,несбалансированное состояние,несбалансированн<> состояни<>,
standby coordinator,резервный координатор,резервн<> координатор<>,
system catalog table,таблица системного каталога,таблиц<> системн<> каталог<>,
plaintext,в открытом виде,открыт<> вид<>,"crypto/unencrypted-data sense, distinct from the ""plain text"" file-format entry above"
certificate,сертификат,сертификат<>,
keytab file,keytab-файл,keytab-файл<>,
role,роль,рол<>,
privilege,привилегия,привилеги<>,
grant,выдать,выда<>,"verb, prose sense, not the SQL command"
grant,выдавать,выда<>,"verb, prose sense, not the SQL command"
revoke,отозвать,отозва<>,verb
revoke,отозвать,отзов<>,"verb, future/non-past conjugated forms (root shifts отозва- -> отзов-, e.g. ""отзовёт""/""отзовут"")"
revoke,отзывать,отзыва<>,verb
owner,владелец,владел<>,
ownership,владение,владени<>,
inherit,наследовать,наслед<>,role attribute
inheritance,наследование,наследовани<>,role attribute
workload,нагрузка,нагрузк<>,
concurrent transaction,одновременная транзакция,одновременн<> транзакци<>,
concurrent query,одновременный запрос,одновременн<> запрос<>,
throughput,пропускная способность,пропускн<> способност<>,
priority,приоритет,приоритет<>,queue/query
active statement,активный запрос,активн<> запрос<>,
active query,активный запрос,активн<> запрос<>,
extension,расширение,расширени<>,database extension
character encoding,кодировка,кодировк<>,
full-text search,полнотекстовый поиск,полнотекстов<> поиск<>,
data warehousing,хранилища данных,хранилищ<> данн<>,
bulk data insertion,массовая вставка данных,массов<> вставк<> данн<>,
commit changes,фиксация изменений,фиксаци<> изменени<>,
roll back changes,откат изменений,откат<> изменени<>,
rollback changes,откат изменений,откат<> изменени<>,
partial rollback,частичный откат (изменений),частичн<> откат<>,
passwordless SSH,беспарольный SSH,беспарольн<> SSH,
distribution key,ключ распределения,ключ<> распределени<>,
distribution policy,тип распределения,тип<> распределени<>,
hash distribution,хеш-распределение,хеш-распределени<>,
replicated table,реплицируемая таблица,реплицируем<> таблиц<>,
data skew,перекос данных,перекос<> данн<>,
partition key,ключ партиционирования,ключ<> партиционировани<>,
leaf child partition,листовая дочерняя партиция,листов<> дочерн<> партици<>,
child partition,дочерняя партиция,дочерн<> партици<>,
materialized view,материализованное представление,материализованн<> представлени<>,
window function,оконная функция,оконн<> функци<>,
window frame,рамка окна,рамк<> окн<>,
correlated subquery,коррелированный подзапрос,коррелированн<> подзапрос<>,
uncorrelated subquery,некоррелированный подзапрос,некоррелированн<> подзапрос<>,
common table expression,общее табличное выражение,общ<> табличн<> выражени<>,
CTE,CTE,CTE,"kept as-is in prose, not spelled out (confirmed 33/33 real occurrences)"
user-defined function,пользовательская функция,пользовательск<> функци<>,
UDF,пользовательская функция,пользовательск<> функци<>,
